Archivo,Sitio,Codigo_muestra,G0_n_puntos,G1_n_puntos,G2_n_puntos,G3_n_puntos,G0_E_min_V,G1_E_min_V,G2_E_min_V,G3_E_min_V,G0_E_max_V,G1_E_max_V,G2_E_max_V,G3_E_max_V,G0_dI_mean_nA,G1_dI_mean_nA,G2_dI_mean_nA,G3_dI_mean_nA,G0_dI_sd_nA,G1_dI_sd_nA,G2_dI_sd_nA,G3_dI_sd_nA,G0_dI_min_nA,G1_dI_min_nA,G2_dI_min_nA,G3_dI_min_nA,G0_dI_max_nA,G1_dI_max_nA,G2_dI_max_nA,G3_dI_max_nA,G0_peak_abs_nA,G1_peak_abs_nA,G2_peak_abs_nA,G3_peak_abs_nA,G0_peak_abs_magnitude_nA,G1_peak_abs_magnitude_nA,G2_peak_abs_magnitude_nA,G3_peak_abs_magnitude_nA,G0_E_peak_abs_V,G1_E_peak_abs_V,G2_E_peak_abs_V,G3_E_peak_abs_V,G0_peak_min_nA,G1_peak_min_nA,G2_peak_min_nA,G3_peak_min_nA,G0_E_peak_min_V,G1_E_peak_min_V,G2_E_peak_min_V,G3_E_peak_min_V,G0_peak_max_nA,G1_peak_max_nA,G2_peak_max_nA,G3_peak_max_nA,G0_E_peak_max_V,G1_E_peak_max_V,G2_E_peak_max_V,G3_E_peak_max_V,G0_AUC_signed_nA_V,G1_AUC_signed_nA_V,G2_AUC_signed_nA_V,G3_AUC_signed_nA_V,G0_AUC_abs_nA_V,G1_AUC_abs_nA_V,G2_AUC_abs_nA_V,G3_AUC_abs_nA_V,G0_pendiente_0.0_0.3V,G1_pendiente_0.0_0.3V,G2_pendiente_0.0_0.3V,G3_pendiente_0.0_0.3V,G0_pendiente_0.3_0.6V,G1_pendiente_0.3_0.6V,G2_pendiente_0.3_0.6V,G3_pendiente_0.3_0.6V,G0_pendiente_0.6_0.9V,G1_pendiente_0.6_0.9V,G2_pendiente_0.6_0.9V,G3_pendiente_0.6_0.9V,G0_pendiente_0.9_1.2V,G1_pendiente_0.9_1.2V,G2_pendiente_0.9_1.2V,G3_pendiente_0.9_1.2V,G0_pendiente_1.2_1.5V,G1_pendiente_1.2_1.5V,G2_pendiente_1.2_1.5V,G3_pendiente_1.2_1.5V
Carimagua (10a)_COS,Carimagua,10a,250,250,250,250,0.015,0.015,0.015,0.015,1.494,1.494,1.494,1.494,-381.1843878407486,-320.6763217037788,-37.04877960522724,-4.030490071826361,26.09766592581028,26.85108061887467,2.659299339894031,0.33577097166111475,-500.0076295109466,-406.2561989776441,-45.00068665598701,-5.687586785687017,-187.50286106672135,-25.00038147556188,-6.875104905777334,-0.6875104905777789,-500.0076295109466,-406.2561989776441,-45.00068665598701,-5.687586785687017,500.0076295109466,406.2561989776441,45.00068665598701,5.687586785687017,1.488,1.488,1.488,1.494,-500.0076295109466,-406.2561989776441,-45.00068665598701,-5.687586785687017,1.488,1.488,1.488,1.494,-187.50286106672135,-25.00038147556188,-6.875104905777334,-0.6875104905777789,0.021,0.015,0.018,0.015,-565.9372069450493,-476.3898584180754,-54.996999901906186,-5.984354706863239,565.9372069450493,476.3898584180754,54.996999901906186,5.984354706863239,-195.7897404635363,-237.97409381375533,-21.162317806916267,-2.7876743777017046,-31.79891887256341,-9.253842683032742,2.393136613547445,-0.34628665360592115,-0.7860406916372928,16.163854941316757,0.6045367498001305,0.10704445049578637,23.223929513277376,6.2168672850938895,3.242775142512388,0.06173992338332394,27.297049459244562,31.570252489306903,2.6375238102727208,0.007002907976290064
Carimagua (10b)_COS,Carimagua,10b,250,250,250,250,0.015,0.015,0.015,0.015,1.494,1.494,1.494,1.494,-4.6429279883122065,6.907248253387915,0.33429081515873676,-0.07221538763365776,72.7496003695852,52.684345823773725,8.90229775572592,0.6231878600231144,-223.21769174597492,-152.68090115423755,-18.03598949307317,-1.9643156873644978,187.5028610666216,145.53793501837313,101.25154497596668,1.6875257495994447,-223.21769174597492,-152.68090115423755,101.25154497596668,-1.9643156873644978,223.21769174597492,152.68090115423755,101.25154497596668,1.9643156873644978,1.26,0.738,0.018,1.056,-223.21769174597492,-152.68090115423755,-18.03598949307317,-1.9643156873644978,1.26,0.738,0.708,1.056,187.5028610666216,145.53793501837313,101.25154497596668,1.6875257495994447,0.8220000000000001,1.218,0.018,0.63,-6.602779321840128,10.368908216984659,0.09549252852889946,-0.10852397737305886,60.791106170110815,37.36396298597388,4.50663126573582,0.42987709511820416,82.07989081872438,119.76782845352693,-36.133831651195884,-0.47517294353868605,346.715403073753,-141.115741547784,-4.820573184532649,0.5009937532873397,54.0224329603688,-43.66098748516304,19.400198841812557,-1.4738262960419732,-112.04652762172596,262.45898679911534,-8.06334832704401,-0.7563140614451777,190.00747254173422,-41.188532220071345,-6.607029300945884,1.439169047383392
Carimagua (11a)_COS,Carimagua,11a,250,250,250,250,0.015,0.015,0.015,0.015,1.494,1.494,1.494,1.494,-118.18037471802172,-89.59065275915776,-9.517645227740903,-0.977800634339314,45.72090230131317,31.644235090262338,3.5228426814938136,0.37695682744551995,-241.07510708561833,-152.68090115423962,-21.25032425421523,-1.6518109189199937,62.500953688751906,6.250095368886832,0,0.22321769174602324,-241.07510708561833,-152.68090115423962,-21.25032425421523,-1.6518109189199937,241.07510708561833,152.68090115423962,21.25032425421523,1.6518109189199937,0.528,1.14,1.494,1.008,-241.07510708561833,-152.68090115423962,-21.25032425421523,-1.6518109189199937,0.528,1.14,1.494,1.008,62.500953688751906,6.250095368886832,0,0.22321769174602324,1.482,1.488,0.015,1.392,-175.9446489880611,-133.51275152862635,-14.17588594971062,-1.46542861066602,177.65896086067005,133.587752673053,14.17588594971062,1.470651904652874,-176.8885512494686,-241.60961942665975,-26.79081139043035,-3.2506575308526937,-213.15994381002054,0.2215205584435256,-4.1960281262299874,-0.3243489724959988,72.3157435919017,-3.2227668339886195,-2.942650514961838,-0.04844868987722787,-33.79974972317914,46.46929650016554,4.251765557066318,0.9336019664383031,153.56376776704863,220.21287255813635,16.51900241725592,2.183406665481078
Carimagua (11b)_COS,Carimagua,11b,250,250,250,250,0.015,0.015,0.015,0.015,1.494,1.494,1.494,1.494,-129.46626121267357,-100.72653696497882,-10.745878254803939,-0.9890150911726286,20.23202238385022,8.178240076946969,0.9775838048909875,0.0893489896258519,-187.50286106672135,-131.25200274665258,-14.375219348439714,-1.312520027466462,0,-25.00038147554733,-1.2500190737791854,-0.18750286106660496,-187.50286106672135,-131.25200274665258,-14.375219348439714,-1.312520027466462,187.50286106672135,131.25200274665258,14.375219348439714,1.312520027466462,1.482,1.488,1.494,1.494,-187.50286106672135,-131.25200274665258,-14.375219348439714,-1.312520027466462,1.482,1.488,1.494,1.494,0,-25.00038147554733,-1.2500190737791854,-0.18750286106660496,0.018,0.021,0.015,0.021,-192.1368603472767,-149.65808717260975,-15.95060052970613,-1.4676250727527933,192.1368603472767,149.65808717260975,15.95060052970613,1.4676250727527933,2.6432131791185656,-62.27129685664945,-10.467271855164798,-0.6596736534126105,78.81844385656476,10.71873669841366,-0.1429164893144414,-0.03458579041474885,-53.66514173749515,28.85483919237467,-2.234499310407235,-0.07160116114529654,61.81138162928414,12.962525580690276,1.1247527708902534,0.0010718736693423403,-23.152471270062865,10.690153400665103,2.1158786242834964,0.10961694730313337
Carimagua (9a)_COS,Carimagua,9a,250,250,250,250,0.015,0.015,0.015,0.015,1.494,1.494,1.494,1.494,-1375.770992599403,-1281.8517023618772,-148.9187008904729,-14.915549021787697,173.17218890877547,115.85730766927502,17.38573248977518,1.7816364622152157,-2062.531471732771,-1623.2390543766192,-193.3065210520004,-20.11637838014573,-375.00572213320993,-381.25581750206766,-57.500877393758856,-5.000076295109466,-2062.531471732771,-1623.2390543766192,-193.3065210520004,-20.11637838014573,2062.531471732771,1623.2390543766192,193.3065210520004,20.11637838014573,1.488,1.326,0.8160000000000001,0.498,-2062.531471732771,-1623.2390543766192,-193.3065210520004,-20.11637838014573,1.488,1.326,0.8160000000000001,0.498,-375.00572213320993,-381.25581750206766,-57.500877393758856,-5.000076295109466,0.018,0.018,1.482,0.018,-2040.7945329104832,-1901.841519798579,-220.85024490730143,-22.131592165582177,2040.7945329104832,1901.841519798579,220.85024490730143,22.131592165582177,771.4417011969863,-725.279238179466,-64.59806278203689,-14.243655627428172,210.23015577920486,93.01719706945535,-50.77179741093514,-5.151710690270509,15.649355580237104,553.4512506895954,-47.83057606087663,-0.4725533719141584,898.7303430455647,41.45292772527041,-1.3005400527502802,-3.059055995502713,387.73243550655866,191.0864920361163,5.808126125685153,-4.178663772782009
Carimagua (9b)_COS,Carimagua,9b,250,250,250,250,0.015,0.015,0.015,0.015,1.494,1.494,1.494,1.494,-1815.3134137701786,-1508.3444440811315,-166.3018232787278,-16.7963991498545,149.54044057975491,126.00702550586563,12.283109891500892,1.7067707417923823,-2500.038147554733,-2325.0354772259016,-203.75310902571255,-26.75040817883587,-437.50667582196184,-225.0034332799405,-78.75120164797227,-0.5000076295109466,-2500.038147554733,-2325.0354772259016,-203.75310902571255,-26.75040817883587,2500.038147554733,2325.0354772259016,203.75310902571255,26.75040817883587,1.488,1.482,1.488,1.482,-2500.038147554733,-2325.0354772259016,-203.75310902571255,-26.75040817883587,1.488,1.482,1.488,1.482,-437.50667582196184,-225.0034332799405,-78.75120164797227,-0.5000076295109466,0.018,0.015,0.021,0.015,-2695.969708661676,-2239.4806003335143,-246.99885818919,-24.95221109766865,2695.969708661676,2239.4806003335143,246.99885818919,24.95221109766865,-846.5222453852663,-835.6821180393414,-102.79219789036866,-11.205924423041798,72.8159513053585,-89.61578462378363,17.97031936623362,-4.089984091162856,-165.64021111453894,60.146404527416486,-13.166896160423853,-2.0471357929216447,-52.307435088698824,-65.34856473844964,-7.871840231364896,-2.629091737404397,336.06812461965154,-2.236643057755483,23.053858891104685,-1.900789307864833
Las nubes (5a)_COS,Las nubes,5a,250,250,250,250,0.015,0.015,0.015,0.015,1.494,1.494,1.494,1.494,-2009.1377998670214,-1695.2258670939161,-198.04980771452517,-20.144200233245055,184.27506993120775,151.35152081685905,17.156260930472897,1.6145219794928778,-2875.04386968771,-2418.786907759204,-303.75463492790004,-27.93792629892414,-562.5085831999313,-131.25200274663803,-85.0012970168591,-6.375097276264796,-2875.04386968771,-2418.786907759204,-303.75463492790004,-27.93792629892414,2875.04386968771,2418.786907759204,303.75463492790004,27.93792629892414,1.494,1.482,1.488,1.488,-2875.04386968771,-2418.786907759204,-303.75463492790004,-27.93792629892414,1.494,1.482,1.488,1.488,-562.5085831999313,-131.25200274663803,-85.0012970168591,-6.375097276264796,0.021,0.018,0.021,0.015,-2982.514259555952,-2511.3075159402233,-294.1069430729485,-29.90787153647452,2982.514259555952,2511.3075159402233,294.1069430729485,29.90787153647452,-1838.39906579444,-703.4535329307065,-140.802932397103,-11.751570745897496,36.80099599763796,-6.731366646638609,-11.62268349339212,-0.9889106478023619,88.9655145974218,-70.52928747604888,-9.861237762604054,-1.0665857597443695,-339.06937089551184,-140.70128372878585,-24.362973933214086,-2.3589795726024065,-42.94640503836246,126.63830118040154,22.942384029441275,1.0079185408811449
Las nubes (5b)_COS,Las nubes,5b,250,250,250,250,0.015,0.015,0.015,0.015,1.494,1.494,1.494,1.494,-1554.0951421814243,-1329.7095754722122,-165.49145377061325,-15.336198297529116,167.8641444554051,194.32317362550071,22.31325648921738,1.395929719098573,-2125.032425421523,-3693.806363012118,-228.75349050125809,-19.536012381606334,-500.00762951071374,-418.7563897154323,-11.25017166399266,-6.062592507820455,-2125.032425421523,-3693.806363012118,-228.75349050125809,-19.536012381606334,2125.032425421523,3693.806363012118,228.75349050125809,19.536012381606334,1.494,1.488,1.494,0.4260000000000001,-2125.032425421523,-3693.806363012118,-228.75349050125809,-19.536012381606334,1.494,1.488,1.494,0.4260000000000001,-500.00762951071374,-418.7563897154323,-11.25017166399266,-6.062592507820455,0.018,0.018,0.015,0.021,-2305.3476768139735,-1974.2470889056012,-245.850269234542,-22.743574717980557,2305.3476768139735,1974.2470889056012,245.850269234542,22.743574717980557,-1046.675502577709,-665.5226854815802,-65.29984326439147,-3.6757054065874613,-227.95180045405948,-158.94457358965556,46.251348853963584,4.326653797465658,-1320.1910700303788,103.64303804987247,-22.78946338587366,6.791677405138767,-261.7515501768959,-47.98421128689417,-0.23795595470518666,0.4649073397356662,-85.3926023645492,-583.0492556263689,76.00441818162237,1.9887544070368115
Las nubes (6a)_COS,Las nubes,6a,250,250,250,250,0.015,0.015,0.015,0.015,1.494,1.494,1.494,1.494,-216.0390107794203,-189.74218095020177,-22.2446251403285,-2.2043550643603567,23.021832053383612,13.75203101132573,1.7725993135252613,0.1420723476896195,-312.504768444458,-237.50362401771417,-30.000457770658613,-2.875043869687943,-62.50095368898474,-43.75066758222238,-5.000076295109466,-1.312520027466462,-312.504768444458,-237.50362401771417,-30.000457770658613,-2.875043869687943,312.504768444458,237.50362401771417,30.000457770658613,2.875043869687943,1.488,1.488,1.488,0.021,-312.504768444458,-237.50362401771417,-30.000457770658613,-2.875043869687943,1.488,1.488,1.488,0.021,-62.50095368898474,-43.75066758222238,-5.000076295109466,-1.312520027466462,0.018,0.015,0.018,0.015,-321.1924010071129,-281.7752816924445,-33.0252807115064,-3.2669560997939766,321.1924010071129,281.7752816924445,33.0252807115064,3.2669560997939766,-151.51222807395618,-124.69173590940316,-17.28078140309813,-0.8568735997907105,69.95762151868493,-45.997672085438744,2.19662644074291,0.07710344598446209,28.940589086791004,6.838554013632541,-0.12147901591496893,-0.3570768485486243,-36.30078828673035,4.680515025001995,-1.9979725205989343,0.5668067966159974,120.62151698097988,-8.860822337390452,4.138146948061394,0.19300871881738974
Las nubes (6b)_COS,Las nubes,6b,250,250,250,250,0.015,0.015,0.015,0.015,1.494,1.494,1.494,1.494,-299.9688628759304,-262.3932895181422,-29.451520823115125,-2.9940099706808856,25.25544135718986,22.340848804483308,2.6489216012039667,0.3139540547567962,-437.5066758224275,-318.754863813243,-40.000610360877545,-5.437582970931771,-125.00190737796947,-93.75143053330248,-10.000152590218931,-0.8750133516443839,-437.5066758224275,-318.754863813243,-40.000610360877545,-5.437582970931771,437.5066758224275,318.754863813243,40.000610360877545,5.437582970931771,1.494,1.488,1.482,1.488,-437.5066758224275,-318.754863813243,-40.000610360877545,-5.437582970931771,1.494,1.488,1.482,1.488,-125.00190737796947,-93.75143053330248,-10.000152590218931,-0.8750133516443839,0.018,0.015,0.015,0.015,-444.31481542039137,-389.4032632508261,-43.6790593466957,-4.448840205342844,444.31481542039137,389.4032632508261,43.6790593466957,4.448840205342844,-154.9454518958092,-180.6171061528602,-13.68719280371488,-1.8699625751268978,19.079351322973135,20.680016003604234,5.054241644554157,-0.11440464969519304,-148.9189818636993,31.220107090454928,-6.415521205266907,1.0659426355419335,-25.367676853229998,-33.678270706645804,5.04638123764455,1.082378031813309,-13.791441218909599,-8.253427257847534,4.406829947968138,-0.07202991061433012
