Archivo,Sitio,Codigo_muestra,n_puntos,tiempo_total_s,G0_dI_min_nA,G0_dI_max_nA,G0_dI_mean_nA,G1_dI_min_nA,G1_dI_max_nA,G1_dI_mean_nA,G2_dI_min_nA,G2_dI_max_nA,G2_dI_mean_nA,G3_dI_min_nA,G3_dI_max_nA,G3_dI_mean_nA
Carimagua (10a)_COS,Carimagua,10a,250,4.98,-625.009536888916,-125.00190737727098,-381.7558251316175,-481.2573434043152,-25.00038147556188,-321.30490272373555,-54.37582970931726,-6.875104905777334,-37.043065232318526,-6.0000915541311315,-0.6875104905777789,-4.037561608300874
Carimagua (10b)_COS,Carimagua,10b,250,4.98,-1375.020981155103,1062.5162127108779,-4.500068665594794,-1025.0156404974405,962.5146868085722,6.975106431678694,-123.75188830395928,113.75173571373853,0.21750331883724722,-13.187701228351443,10.81266498817422,-0.07200109864958176
Carimagua (11a)_COS,Carimagua,11a,250,4.98,-375.00572213344276,187.50286106648855,-118.50180819413532,-275.0041962310206,150.00228885328397,-89.35136339360604,-30.625467307545478,11.250171663998117,-9.46764446478981,-2.8750438696877154,3.000045777065907,-0.9847650263217883
Carimagua (11b)_COS,Carimagua,11b,250,4.98,-312.5047684442252,62.50095368921757,-129.2519722285969,-187.50286106660496,-12.500190737788216,-100.92654001678311,-19.37529564354736,5.000076295109466,-10.745163958190343,-1.625024795910349,-0.18750286106660496,-0.991765133134938
Carimagua (9a)_COS,Carimagua,9a,250,4.98,-4750.072480353992,500.0076295109466,-1378.0210269322022,-3081.297016861223,293.7544823376811,-1282.9945769436167,-485.63241016250686,135.62706950484244,-149.10977523460744,-47.12571908140694,7.250110627908498,-14.936727916380555
Carimagua (9b)_COS,Carimagua,9b,250,4.98,-3062.5467307544313,-437.50667582196184,-1814.2776836804767,-2350.035858701478,-225.0034332799405,-1507.1229968718976,-302.5046158541245,-53.75082017242676,-166.43253955901423,-26.75040817883587,-0.5000076295109466,-16.79925633630885
Las nubes (5a)_COS,Las nubes,5a,250,4.98,-3312.5505455101375,-562.5085831999313,-2010.780682078272,-3743.807125963227,700.0106813153106,-1694.125850308992,-338.1301594567776,-71.25108720530989,-198.50552895399372,-32.00048828870081,-5.8125886930645265,-20.161807644769976
Las nubes (5b)_COS,Las nubes,5b,250,4.98,-4750.072480354225,-62.50095368898474,-1556.5237506676206,-3693.806363012118,325.0049591821153,-1328.4952712291142,-500.6326390478371,70.0010681315307,-165.5400259403372,-36.43805600061046,-0.2500038147554733,-15.366984481574717
Las nubes (6a)_COS,Las nubes,6a,250,4.98,-437.50667582196184,0,-216.753307393007,-312.5047684443707,-43.75066758222238,-189.95289845121,-42.5006485084341,-3.125047684441597,-22.275339894712744,-3.812558175021195,-1.187518120088498,-2.2020336003661996
Las nubes (6b)_COS,Las nubes,6b,250,4.98,-562.5085831999313,62.50095368898474,-300.0045777066089,-587.5089646753622,56.25085831998149,-262.5040054932483,-58.75089646753622,1.2500190737791854,-29.445449301899636,-5.437582970931771,0.7500114442664199,-2.9982957503624084
Las nubes (7a)_COS,Las nubes,7a,250,4.98,-812.5123979551718,-62.500953688751906,-416.5063553826129,-606.2592507820082,-56.25085831996694,-360.2804974441147,-66.25101091020224,0.6250095368868642,-40.943124742504146,-6.500099183642305,-1.1875181200887255,-4.052811841000974
Las nubes (7b)_COS,Las nubes,7b,250,4.98,-625.0095368884504,-250.0038147554733,-442.5067521171886,-462.5070572976547,-181.25276569768903,-364.8055664911877,-57.500877393762494,-18.750286106660496,-40.19561333638526,-4.8750743877319564,-2.125032425421523,-4.019061326009007
Las nubes (8a)_COS,Las nubes,8a,250,4.98,-312.504768444458,62.50095368898474,-120.75184252692573,-231.2535286488419,68.7510490577406,-102.17655909055983,-38.125581750209676,11.250171663994479,-11.245171587701153,-2.5625391012438286,0.6875104905773242,-1.1062668802929694
Las nubes (8b)_COS,Las nubes,8b,250,4.98,-375.00572213320993,62.50095368898474,-121.50185397115816,-306.2546730754548,43.75066758219327,-104.4015930418864,-27.500419623100242,0.6250095368886832,-11.835180590524018,-2.750041962310206,0.43750667582207825,-1.1542676127260074
Sheffer (1a)_COS,Sheffer,1a,250,4.98,-437.50667582219467,62.50095368898474,-162.00247196156718,-206.25314717329456,-43.750667582207825,-132.62702372777892,-21.875333791103913,-3.125047684445235,-14.007713740749125,-2.062531471732882,-0.06250095368864095,-1.3467705500877283
Sheffer (1b)_COS,Sheffer,1b,250,4.98,-375.00572213344276,62.50095368898474,-182.25278095676936,-237.50362401771417,-12.500190737759112,-145.07721370260143,-28.125429159990745,-0.6250095368886832,-15.817741359578802,-2.5000381475549602,-0.3125047684443416,-1.499772884718086
Sheffer (2a)_COS,Sheffer,2a,250,4.98,-250.00381475570612,125.00190737727098,-84.25128557257075,-243.75371938658645,100.00152590218931,-55.60084840161761,-27.50041962310388,9.375143053330248,-5.997591515983775,-2.687541008621338,1.2500190737773664,-0.5645086137178814
Sheffer (2b)_COS,Sheffer,2b,250,4.98,-250.00381475570612,62.50095368921757,-80.25122453649807,-250.0038147554733,50.00076295109466,-56.700865186541456,-24.375371938656826,9.375143053332067,-6.182594338902927,-2.312535286488128,0.8750133516439291,-0.6492599069199742
Sheffer (3a)_COS,Sheffer,3a,250,4.98,-1062.5162127111107,-62.500953688519076,-544.0083009078932,-818.7624933241896,-43.750667582207825,-451.23188525215454,-87.50133516441565,-4.3750667582189635,-48.820744945448915,-8.93763637750817,0,-4.846323949034882
Sheffer (3b)_COS,Sheffer,3b,250,4.98,-937.5143053333741,62.500953688751906,-505.5077134355819,-731.2611581597739,-68.7510490577406,-429.0065461203932,-86.2513160906401,-13.125200274662348,-48.958247043564334,-8.43762874799745,-0.6875104905775515,-4.900824780651556
Sheffer (4a)_COS,Sheffer,4a,250,4.98,-3937.560082398588,312.5047684442252,-2102.2820782787408,-3431.3023575188854,-37.50057221329189,-1667.9504509040958,-350.6303501945531,24.375371938658645,-178.8127284657053,-34.06301976043346,4.3125658045321416,-18.631034287022185
Sheffer (4b)_COS,Sheffer,4b,250,4.98,-3375.0514991988894,375.0057221329771,-1095.7667200732528,-2025.0308995193336,437.50667582210735,-849.1879575799171,-369.3806363012136,27.50041962310388,-102.64656626230257,-36.68805981536548,10.250156404974632,-10.917916594186314
