predictor,importance
g3_pendiente_0_0_0_3v,0.014690226666666669
g2_pendiente_0_0_0_3v,0.009116293333333334
g2_pendiente_0_6_0_9v,0.005575591666666664
g3_pendiente_1_2_1_5v,0.0026654516666666664
tsample_paste,7.773999999999992e-5
ph_colorimetric_field,-0.0015212166666666665
g2_pendiente_1_2_1_5v,-0.0017086733333333336
g3_pendiente_0_6_0_9v,-0.0024665899999999994
g3_e_peak_abs_v,-0.004597578333333334
clay,NA
bulk_density,NA
depthmid,NA
thickness,NA
g2_e_peak_abs_v,NA
g2_pendiente_0_3_0_6v,NA
g3_pendiente_0_3_0_6v,NA
g2_pendiente_0_9_1_2v,NA
g3_pendiente_0_9_1_2v,NA
