Archivo,Sitio,Codigo_muestra,Indice,Tiempo_s,E_plot_V,Ganancia,dI_nA,dI_smooth_nA
Carimagua (10a)_COS,Carimagua,10a,1,0,0.015,G0,-250.0038147554733,-250.0038147554733
Carimagua (10a)_COS,Carimagua,10a,2,0.02,0.018,G0,-312.5047684442252,-312.5047684442252
Carimagua (10a)_COS,Carimagua,10a,3,0.04,0.021,G0,-187.50286106672135,-187.50286106672135
Carimagua (10a)_COS,Carimagua,10a,4,0.06,0.024,G0,-437.50667582219467,-321.43347611417994
Carimagua (10a)_COS,Carimagua,10a,5,0.08,0.027,G0,-187.50286106648855,-321.4334761141799
Carimagua (10a)_COS,Carimagua,10a,6,0.1,0.03,G0,-437.50667582196184,-357.14830679356646
Carimagua (10a)_COS,Carimagua,10a,7,0.12,0.036,G0,-437.50667582219467,-366.0770144633882
Carimagua (10a)_COS,Carimagua,10a,8,0.14,0.04199999999999999,G0,-250.0038147554733,-366.0770144633882
Carimagua (10a)_COS,Carimagua,10a,9,0.16,0.048,G0,-562.5085831999313,-401.79184514274147
Carimagua (10a)_COS,Carimagua,10a,10,0.18,0.054,G0,-250.0038147554733,-375.0057221332431
Carimagua (10a)_COS,Carimagua,10a,11,0.2,0.06,G0,-437.50667582219467,-383.93442980306486
Carimagua (10a)_COS,Carimagua,10a,12,0.22,0.066,G0,-437.50667582196184,-383.93442980306486
Carimagua (10a)_COS,Carimagua,10a,13,0.24,0.072,G0,-250.0038147554733,-375.00572213320993
Carimagua (10a)_COS,Carimagua,10a,14,0.26,0.078,G0,-500.0076295109466,-401.7918451427415
Carimagua (10a)_COS,Carimagua,10a,15,0.28,0.084,G0,-250.0038147554733,-375.0057221332099
Carimagua (10a)_COS,Carimagua,10a,16,0.3,0.09,G0,-500.0076295109466,-383.93442980309817
Carimagua (10a)_COS,Carimagua,10a,17,0.32,0.096,G0,-437.50667582219467,-375.0057221332432
Carimagua (10a)_COS,Carimagua,10a,18,0.34,0.102,G0,-250.0038147554733,-357.1483067935998
Carimagua (10a)_COS,Carimagua,10a,19,0.36,0.108,G0,-500.0076295111794,-383.93442980313137
Carimagua (10a)_COS,Carimagua,10a,20,0.38,0.114,G0,-187.50286106648855,-348.21959912381135
Carimagua (10a)_COS,Carimagua,10a,21,0.4,0.12,G0,-375.0057221334427,-357.148306793633
Carimagua (10a)_COS,Carimagua,10a,22,0.42,0.126,G0,-437.50667582219467,-375.00572213330963
Carimagua (10a)_COS,Carimagua,10a,23,0.44,0.132,G0,-250.00381475570612,-357.1483067935998
Carimagua (10a)_COS,Carimagua,10a,24,0.46,0.138,G0,-500.0076295109466,-392.86313747298635
